,_mu,zimu,_she,_yun,_deng,_hu,_overlap,_vari,bax,poly,yugan,star,hxs,unt,untF,msoeg
1,21,侵A,深,侵,三A,,c,寑沁缉緝,jim,im,īm,jim,im,im,im,im
,21,侵B,深,侵,三B,,c,,im,im,ïīm,im,ɨim,ɻim,ɨ̯im,ʴim
1,22,覃,咸,覃,一,,,感勘合,om,om,ë̄m,ʌm,əm,ɐm,ɐm,ʌm
,23,谈,咸,谈,一,,,談敢阚闞盍,am,am,ām,âm,ɒm,ɑm,ɑm,ɑm
,24,盐A,咸,盐,三A,,c,鹽琰豔艳艶葉叶,jiem,iem,iēm,jem,iɛm,jɛm,i̯ɛm,iɛm
,24,盐B,咸,盐,三B,,c,,jem,iem,ïiēm,em,ɨɛm,ɻjɛm,ɨ̯i̯ɛm,ʴiɛm
,25,添,咸,添,四,,,忝㮇怗帖,em,em,ēm,iem,ɛm,em,em,ɛm
,26,咸,咸,咸,二,,,豏陷洽,eam,rem,ïēm ,ạ̈m,ɐm,ɻæm,ɨ̯æm,ʴɛm
,27,衔,咸,衔,二,,,銜槛檻鉴鑑鑒狎,aem,ram,ïām,äm,am,ɻam,ɨ̯am,ʴam
,28,严,咸,严,三,,,嚴俨儼酽釅业業[凡],jaem,iam,ië̄m,əm,ɨɐm,j̈əm,i̯əm,ɯʌm
,29,凡,咸,凡,三,,,梵范乏[严嚴],jom,yam,ië̄m,ɨm,uɨɐm,ẅɞm,i̯əm,uɔm
